2026-04-04 19:06:37;1;0,24
2026-04-04 19:15:40;1;0,20
2026-04-04 19:15:43;2;0,25
2026-04-04 19:15:46;3;0,27
2026-04-04 19:15:49;5;0,36
2026-04-04 19:15:52;6;0,35
2026-04-04 19:15:55;8;0,40
2026-04-04 19:15:58;9;0,39
2026-04-04 19:16:01;11;0,42
2026-04-04 19:16:04;12;0,41
2026-04-04 19:16:07;13;0,41
2026-04-04 19:16:10;14;0,40
2026-04-04 19:16:14;16;0,41
2026-04-04 19:16:17;18;0,43
2026-04-04 19:16:20;19;0,42
2026-04-04 19:16:22;20;0,42
2026-04-04 19:18:23;1;0,09
2026-04-04 19:18:26;2;0,14
2026-04-04 19:18:29;3;0,18
2026-04-27 21:03:15;1;0.11
2026-04-27 21:03:18;3;0.25
2026-04-27 21:03:21;4;0.27
2026-04-27 21:03:28;5;0.23
2026-04-27 21:03:31;7;0.28
2026-04-27 21:03:35;9;0.31
2026-04-27 21:03:39;10;0.30
2026-04-27 21:03:42;11;0.31
2026-04-27 21:03:46;12;0.30
2026-04-27 21:03:49;13;0.30
2026-04-27 21:03:52;16;0.35
2026-04-27 21:03:55;16;0.33
2026-04-27 21:03:58;19;0.37
2026-04-27 21:04:01;19;0.35
2026-04-27 21:04:04;22;0.38
2026-04-27 21:04:07;23;0.38
2026-04-27 21:04:10;24;0.37
2026-04-27 21:04:13;26;0.39
2026-04-27 21:04:16;27;0.39
2026-04-27 21:04:19;29;0.40
2026-04-27 21:04:22;31;0.41
2026-04-27 21:04:25;32;0.40
2026-04-27 21:04:29;33;0.40
2026-04-27 21:04:32;34;0.39
2026-04-27 21:04:35;35;0.39
2026-04-27 21:04:38;37;0.40
2026-04-27 21:04:42;38;0.40
2026-04-27 21:04:45;39;0.39
2026-04-27 21:04:48;40;0.39
2026-04-27 21:04:53;41;0.38
2026-04-27 21:04:53;43;0.40
2026-04-27 21:08:45;2;0.22
2026-04-27 21:08:48;3;0.25
2026-04-27 21:08:51;4;0.27
2026-04-27 21:08:54;6;0.33
2026-04-27 21:08:57;7;0.33
2026-04-27 21:09:00;9;0.37
2026-04-27 21:09:03;10;0.37
2026-04-27 21:09:06;11;0.37
2026-04-27 21:09:10;13;0.38
2026-04-27 21:09:13;14;0.38
2026-04-27 21:09:16;16;0.40
2026-04-27 21:09:55;1;0.20
2026-04-27 21:09:58;2;0.25
2026-04-27 21:10:01;3;0.27
2026-04-27 21:10:04;5;0.36
2026-04-27 21:10:13;6;0.26
2026-04-27 21:10:16;8;0.31
2026-04-27 21:10:19;9;0.31
2026-04-27 21:10:22;11;0.34
2026-04-27 21:10:25;13;0.37
2026-04-27 21:10:29;14;0.36
2026-04-27 21:10:32;16;0.38
2026-04-27 21:10:35;17;0.38
2026-04-27 21:10:38;19;0.40
2026-04-27 21:10:41;20;0.39
2026-04-27 21:16:36;1;0.20
2026-04-27 21:16:43;2;0.17
2026-04-27 21:16:46;4;0.27
2026-04-27 21:16:49;5;0.28
2026-04-27 21:16:53;6;0.27
2026-04-27 21:16:56;8;0.32
2026-04-27 21:17:00;9;0.31
2026-04-27 21:17:03;11;0.34
2026-04-27 21:17:06;12;0.34
2026-04-27 21:17:09;14;0.37
2026-04-27 21:17:12;15;0.37
2026-04-27 21:17:15;16;0.36
2026-04-27 21:17:18;17;0.36
2026-04-27 21:17:21;18;0.36
2026-04-27 21:17:24;21;0.40
2026-04-27 21:17:27;22;0.39
2026-04-27 21:17:30;23;0.39
2026-04-27 21:17:33;25;0.40
2026-04-27 21:22:07;1;0.20
